gene_id	gene_name	H2	H27	H45	H47	H56	H74	H87	H91
ENSG00000002016	RAD52	48	102.999	111.001	47	66.001	71.999	32	41.001
ENSG00000003056	M6PR	1446.001	1803.001	3565.001	1621.001	1193	2541	1026.999	1394
ENSG00000004478	FKBP4	93	132	159	67	63	156	65	69
ENSG00000004700	RECQL	706.001	817	1247.001	692.002	387	878	345	292
ENSG00000005175	RPAP3	464	441.001	795	618.999	340	510	324	420
ENSG00000006831	ADIPOR2	473.999	497	751	849	460.001	522	412	365
ENSG00000008323	PLEKHG6	1	0	0	0	0	0	0	3
ENSG00000008394	MGST1	77	40	46.001	72	51.001	44	41	61
ENSG00000008405	CRY1	85	168	246	67.001	56	152	51	80.001
ENSG00000010219	DYRK4	66.001	76	144	89.001	39	83	29	96.001
ENSG00000010278	CD9	356	118	359.999	335	50	175	250	130.001
ENSG00000010292	NCAPD2	231	381.001	548	560	366	415.999	327	338
ENSG00000010295	IFFO1	132.001	175	240.999	233.001	174	183	131.999	88
ENSG00000010379	SLC6A13	3	0	1	1	8	4	5	17
ENSG00000010610	CD4	138	297.999	499	199.999	148	383	135	253
ENSG00000010626	LRRC23	19	24.549	83.183	33.556	15.999	37.001	18.744	20.001
ENSG00000011105	TSPAN9	26	20	44	52	9	17	22	91
ENSG00000011465	DCN	2	1	1	0	0	2	0	24
ENSG00000012504	NR1H4	0	1	0	0	0	0	0	2
ENSG00000012822	CALCOCO1	830	629	1016.001	1957.001	1430	947.999	1279.001	779.001
ENSG00000013503	POLR3B	82	158	266	135	80	190	77	126
ENSG00000013573	DDX11	81.62	157.399	71.318	120.976	51.999	164.87	60	48.001
ENSG00000013583	HEBP1	20	23	33	44	25	84	37	34
ENSG00000013588	GPRC5A	1	0	1	0	0	0	0	40
ENSG00000015153	YAF2	781.999	834	1200	998	482	815.999	537	414
ENSG00000017427	IGF1	3	0	7	3	2	0	5	31
ENSG00000018236	CNTN1	3	0	0	0	0	0	0	11
ENSG00000022840	RNF10	3796	10391.001	4727.998	6413.997	4048.999	5124	4926	2303
ENSG00000023697	DERA	224.999	161	273	177	159	146.999	136	103
ENSG00000023734	STRAP	124	195.001	162	136	66	141	59	47
ENSG00000025423	HSD17B6	2	12	4	0	1	1	1	2
ENSG00000028203	VEZT	220	472.002	758.998	247	199	484	131	320
ENSG00000029153	ARNTL2	16	20	30	13	11	23	19	31
ENSG00000033030	ZCCHC8	197	334.001	379.001	270	186.999	264.999	134	203
ENSG00000037897	METTL1	6	12	33	8	7	19	7	17
ENSG00000037965	HOXC8	0	0	5	0	0	0	1	25
ENSG00000047617	ANO2	1	3	6	5	2	3	1	29
ENSG00000047621	C12orf4	112	240.999	289.999	112	82	170	60	125
ENSG00000048540	LMO3	1	0	3	0	0	0	1	23
ENSG00000049130	KITLG	8	7	20	3	2	6	7	16
ENSG00000050405	LIMA1	60	124	249	49	38	115.001	32	98.999
ENSG00000050426	LETMD1	195	421.998	741	265.001	172	410.001	205.999	207
ENSG00000050438	SLC4A8	33	79	216.001	61	46.001	110.001	35	202
ENSG00000051825	MPHOSPH9	324.001	826.999	1163.181	268.129	203.001	518	170	332
ENSG00000052126	PLEKHA5	83.769	265.314	181.898	70.034	56.397	164.895	33.353	208.584
ENSG00000053702	NRIP2	0	1	2	0	0	0	0	13.156
ENSG00000057294	PKP2	8	6	37	46	9	12	14	52
ENSG00000057704	TMCC3	2926	481	1005	7344	4025	981	4081	1396
ENSG00000058272	PPP1R12A	6281.001	2385.999	3518.001	7454.001	5809.999	2920.001	4895.999	2088.999
ENSG00000059758	CDK17	1277.001	1137	1529.999	1682.001	1241.999	1087	1033	613.001
ENSG00000059804	SLC2A3	12583.56	1832.001	3881.997	14637.986	22571.944	4161	13060.682	2798.998
ENSG00000060138	YBX3	2938.999	17230.999	4199.001	3851.001	1877	6166.999	5394.999	2598.999
ENSG00000060140	STYK1	14	63	19	12	25	33	8	26
ENSG00000060237	WNK1	2114.001	4789.998	3539.999	3875.999	3264	3245	2673.002	3010
ENSG00000060709	RIMBP2	2	2	10	3	0	0	0	37
ENSG00000060982	BCAT1	444	232	255.999	1397	1450.001	238.001	465.001	162
ENSG00000061273	HDAC7	461	309	574.999	490.001	649	419.001	440.001	222.999
ENSG00000061794	MRPS35	173	244	441	126	88	262	97	131
ENSG00000061936	SFSWAP	558.999	906.998	1482	974.002	712.001	937	538	562
ENSG00000061987	MON2	2110	2752.998	4544	3818	2605	2805	2077	1628.999
ENSG00000062485	CS	199.999	277.998	508	223	219	334.999	160.001	233.001
ENSG00000063046	EIF4B	5206.999	5616.001	12661.999	4788.001	3538.001	7757	2958.999	3919.001
ENSG00000064102	INTS13	114	202	345	119	100	215.001	54	123
ENSG00000064115	TM7SF3	251.001	378.001	471.999	298	189.001	340	174.998	236.001
ENSG00000064763	FAR2	1472.001	310.001	442	2306	1713.001	572.001	1741.999	640
ENSG00000065357	DGKA	387.001	1064.999	2058.999	780.001	551.001	909.999	401.001	458
ENSG00000065361	ERBB3	0	2	5	0	0	0	1	44
ENSG00000065970	FOXJ2	142	242	240	329	182	169	186	172
ENSG00000066084	DIP2B	4496	1174.999	3126	5295	6112.999	2247	4650	2101
ENSG00000066117	SMARCD1	97.999	149	240	126	113.999	156	80	93
ENSG00000067182	TNFRSF1A	1345	268	513	1472.001	2227	655.999	1239	411
ENSG00000067715	SYT1	3	7	2	7	5	2	1	23
ENSG00000067798	NAV3	18.001	14	6	61	14	6	13	86
ENSG00000069431	ABCC9	2	0	8	1	1	0	4	45
ENSG00000069493	CLEC2D	1527.848	3808.006	5757.527	1459.5	1365.084	2953.501	1141.463	1471.34
ENSG00000070018	LRP6	50	30	161	45	41	28	24.999	76
ENSG00000070019	GUCY2C	1	0	0	0	0	0	0	2
ENSG00000070961	ATP2B1	2756.999	2235.999	3910.998	4072	2683.001	2960.999	2158	1898.999
ENSG00000072041	SLC6A15	3	0	7	0	0	0	0	23
ENSG00000072609	CHFR	674	491.003	915	1301	824	794.001	787.998	475
