gene_id	gene_name	H2	H27	H45	H47	H56	H74	H87	H91
ENSG00000002016	RAD52	27.242576	87.602827	64.904691	35.264797	69.567862	76.9243	17.729987	146.164054
ENSG00000003056	M6PR	581.072424	1426.293665	2392.287244	1015.646646	606.784546	1501.330077	767.262174	3592.16532
ENSG00000004478	FKBP4	37.281377	83.88553	95.545064	24.786015	38.855878	67.012044	45.795128	215.516131
ENSG00000004700	RECQL	199.092839	356.564777	571.021416	279.393356	151.000264	350.944924	169.196527	433.985279
ENSG00000005175	RPAP3	118.435624	214.2091	307.003232	246.081151	121.160563	207.277128	171.3426	648.723544
ENSG00000006831	ADIPOR2	117.823466	271.376289	316.430519	315.164469	164.778017	172.811489	224.855457	613.161929
ENSG00000008323	PLEKHG6	0.512436	0	0	0	0	0	0	62.128014
ENSG00000008394	MGST1	101.551685	67.69095	77.442768	107.080356	74.553917	73.954747	97.035009	439.378781
ENSG00000008405	CRY1	25.400571	68.570833	101.216324	37.009577	41.700099	63.541445	32.341176	140.648357
ENSG00000010219	DYRK4	74.869813	206.820912	270.325856	122.190067	39.396424	83.777384	84.62787	696.028473
ENSG00000010278	CD9	250.906782	139.91325	441.848452	361.024584	50.461508	173.446686	344.160288	587.459495
ENSG00000010292	NCAPD2	85.209016	189.904651	230.914153	307.216649	163.605211	173.658942	196.954593	879.955037
ENSG00000010295	IFFO1	39.276612	86.119954	111.883806	103.040413	70.068324	76.422534	76.643383	154.149402
ENSG00000010379	SLC6A13	2.572286	0	1.365933	1.304856	12.022329	4.334898	6.839756	123.738238
ENSG00000010610	CD4	56.875033	256.572764	426.774951	121.991508	87.142507	372.329108	82.9897	566.604905
ENSG00000010626	LRRC23	11.966455	37.999194	93.978034	39.73451	19.208674	39.778569	24.670978	103.661066
ENSG00000011105	TSPAN9	5.258453	17.438131	19.921386	13.958425	2.236097	4.389382	11.886715	383.71734
ENSG00000011465	DCN	0.875389	0.183065	3.499158	0	0	0.780394	0	54.877721
ENSG00000012504	NR1H4	0	0.872977	0	0	0	0	0	3.534921
ENSG00000012822	CALCOCO1	490.562994	624.771995	1034.359671	1866.161484	1515.298507	950.217339	1586.820104	2458.581984
ENSG00000013503	POLR3B	15.401195	48.512566	128.773838	37.524434	20.583854	110.458225	28.244625	253.727951
ENSG00000013573	DDX11	38.192591	103.371951	46.593257	52.929348	31.376081	111.147953	52.86432	228.033127
ENSG00000013583	HEBP1	13.623107	28.227784	38.430458	43.317811	28.501674	93.166523	53.405913	142.581863
ENSG00000013588	GPRC5A	0.395642	0	0.180227	0	0	0	0	83.218329
ENSG00000015153	YAF2	243.715149	382.995838	485.042618	413.467955	216.362036	323.584754	256.693151	652.598388
ENSG00000017427	IGF1	0.315841	0	2.346661	0.465841	0.287125	0	7.282209	56.317374
ENSG00000018236	CNTN1	0.421912	0	0	0	0	0	0	12.255554
ENSG00000022840	RNF10	2135.802376	8146.157711	3613.336482	4504.046004	3956.240886	3913.868495	5073.009888	6012.709835
ENSG00000023697	DERA	149.463576	153.762427	252.600007	142.392078	130.284347	122.18357	157.101873	367.883246
