tx	gene_id	H2	H27	H45	H47	H56	H74	H87	H91
ENST00000535849	ENSG00000256263	0	0	0	0	0	0	0	0
ENST00000400706	ENSG00000226210	23.91843	96.911283	74.928998	48.450856	41.776423	125.637683	29.582642	137.97679
ENST00000504074	ENSG00000249054	0	0	0	0	0	0	0	14.204895
ENST00000546223	ENSG00000249054	0	0	0	0	0	0	0	0
ENST00000538872	ENSG00000120645	0.175919	0	0.66752	0	0	0.152131	0	19.229851
ENST00000382841	ENSG00000120645	0.413291	0	0	0	0	0	0	7.210898
ENST00000540226	ENSG00000256948	0	21.267195	0	0	0	3.21977	0	0
ENST00000505893	ENSG00000249695	0	0	0	0	0	0	0	0
ENST00000508953	ENSG00000249695	0	0	0.734949	0	0	0	0	41.412478
ENST00000540136	ENSG00000256694	0	0	0	0	0	0	0	20.88269
ENST00000537295	ENSG00000256540	0	0	1.431214	0	0	0	0	0
ENST00000537961	ENSG00000256540	0	0	0	0	0	0	0	32.607522
ENST00000540907	ENSG00000120645	0	0	0	0	0	0	0	0
ENST00000537151	ENSG00000120645	0	0	0	0	0	0	0	0
ENST00000544511	ENSG00000120645	0	0	0	0	0	0	0	0
ENST00000397296	ENSG00000111181	0	0	0	1.68597	0	0	0	5.520121
ENST00000359674	ENSG00000111181	0	0	0	4.897763	0	0	0	0
ENST00000684302	ENSG00000111181	2.010773	4.077975	13.150798	0	6.853448	4.932477	11.586407	40.441405
ENST00000545058	ENSG00000111181	0	0	0	0	0	0	1.289516	0
ENST00000424061	ENSG00000111181	0	0	0	0	0	0	0	0
ENST00000536824	ENSG00000111181	0	0	0	1.247224	0	0	0	0
ENST00000544067	ENSG00000255671	0	0	0	0	0	0	0	0
ENST00000542825	ENSG00000111181	0	0	0	0	0	0	0	0
ENST00000535498	ENSG00000111181	6.53591	0	0	0	0	0	0	0
ENST00000544782	ENSG00000111181	0	0	0	0	0	0	0	0
ENST00000538272	ENSG00000111181	0	0	0	0	0	0	0	0
ENST00000540094	ENSG00000111181	0	0	0	6.872306	0	0	0	0
ENST00000538580	ENSG00000111181	0	2.878078	0	5.465487	0	0	0	32.622052
ENST00000536116	ENSG00000111181	4.640067	0	0	0	0	0	0	0
ENST00000537793	ENSG00000111181	0	0	0	0	0	0	0	0
ENST00000535347	ENSG00000111181	0	0	0	4.708766	0	0	8.318396	0
ENST00000539568	ENSG00000256577	0	0	0	0	0	0	0	8.711325
