"initial_alias","converted_alias","name","description","namespace"
"A0A286YF25","ENSG00000170605","OR9K2","olfactory receptor family 9 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:15339]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q8NGE1","ENSG00000179626","OR6C4","olfactory receptor family 6 subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:19632]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"F8VSF5","ENSG00000152556","PFKM","phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F8VRN2","ENSG00000123268","ATF1","activating transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:783]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"A0A494C1M9","ENSG00000123297","TSFM","Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12367]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F5H6H0","ENSG00000149948","HMGA2","high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"A0A5F9ZHG6","ENSG00000204842","ATXN2","ataxin 2 [Source:HGNC Symbol;Acc:HGNC:10555]","UNIPROTSPTREMBL_ACC"
"A0A494C1M9","ENSG00000123297","TSFM","Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12367]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q99959","ENSG00000057294","PKP2","plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"F5H6H0","ENSG00000149948","HMGA2","high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"A0A2R8Y8B3","ENSG00000111642","CHD4","chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"H0YHV2","ENSG00000167553","TUBA1C","tubulin alpha 1c [Source:HGNC Symbol;Acc:HGNC:20768]","UNIPROTSPTREMBL_ACC"
"Q8IVF4","ENSG00000197653","DNAH10","dynein axonemal heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:2941]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"A0A1B0GW16","ENSG00000151131","NOPCHAP1","NOP protein chaperone 1 [Source:HGNC Symbol;Acc:HGNC:28628]","UNIPROTSPTREMBL_ACC"
"F8VVD5","ENSG00000110871","COQ5","coenzyme Q5, methyltransferase [Source:HGNC Symbol;Acc:HGNC:28722]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F8VSF5","ENSG00000152556","PFKM","phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"A0A087WV54","ENSG00000090612","ZNF268","zinc finger protein 268 [Source:HGNC Symbol;Acc:HGNC:13061]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F8W0W6","ENSG00000139343","SNRPF","small nuclear ribonucleoprotein polypeptide F [Source:HGNC Symbol;Acc:HGNC:11162]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"H7BYT4","ENSG00000139154","AEBP2","AE binding protein 2 [Source:HGNC Symbol;Acc:HGNC:24051]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F8VSF5","ENSG00000152556","PFKM","phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"A0A5F9ZHG6","ENSG00000204842","ATXN2","ataxin 2 [Source:HGNC Symbol;Acc:HGNC:10555]","UNIPROTSPTREMBL_ACC"
"F8VSF5","ENSG00000152556","PFKM","phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F5GY12","ENSG00000121361","KCNJ8","potassium inwardly rectifying channel subfamily J member 8 [Source:HGNC Symbol;Acc:HGNC:6269]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"P05787","ENSG00000170421","KRT8","keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"A0A5F9ZHG6","ENSG00000204842","ATXN2","ataxin 2 [Source:HGNC Symbol;Acc:HGNC:10555]","UNIPROTSPTREMBL_ACC"
"F8VSF5","ENSG00000152556","PFKM","phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q00537","ENSG00000059758","CDK17","cyclin dependent kinase 17 [Source:HGNC Symbol;Acc:HGNC:8750]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"O15060","ENSG00000166860","ZBTB39","zinc finger and BTB domain containing 39 [Source:HGNC Symbol;Acc:HGNC:29014]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"F5H6H0","ENSG00000149948","HMGA2","high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F5H6H0","ENSG00000149948","HMGA2","high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"G3V1S3","ENSG00000170456","DENND5B","DENN domain containing 5B [Source:HGNC Symbol;Acc:HGNC:28338]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"A0A8Q3SHV1","None","None","None",""
"A0A494C1M9","ENSG00000123297","TSFM","Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12367]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F8VV05","ENSG00000111596","CNOT2","CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F5H6H0","ENSG00000149948","HMGA2","high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F5H2P1","ENSG00000120860","WASHC3","WASH complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:24256]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"H0YI55","ENSG00000161642","ZNF385A","zinc finger protein 385A [Source:HGNC Symbol;Acc:HGNC:17521]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"G3V1S3","ENSG00000170456","DENND5B","DENN domain containing 5B [Source:HGNC Symbol;Acc:HGNC:28338]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"A0A494C1M9","ENSG00000123297","TSFM","Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12367]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"A0A2R8Y5H2","ENSG00000184047","DIABLO","diablo IAP-binding mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:21528]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q9UKN5","ENSG00000110851","PRDM4","PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"F8VRN2","ENSG00000123268","ATF1","activating transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:783]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F5H6H0","ENSG00000149948","HMGA2","high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F5H6H0","ENSG00000149948","HMGA2","high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"A0A1B0GW16","ENSG00000151131","NOPCHAP1","NOP protein chaperone 1 [Source:HGNC Symbol;Acc:HGNC:28628]","UNIPROTSPTREMBL_ACC"
"F8VSF5","ENSG00000152556","PFKM","phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"G3V1S3","ENSG00000170456","DENND5B","DENN domain containing 5B [Source:HGNC Symbol;Acc:HGNC:28338]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F8VSF5","ENSG00000152556","PFKM","phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"G3V1S3","ENSG00000170456","DENND5B","DENN domain containing 5B [Source:HGNC Symbol;Acc:HGNC:28338]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F5H6H0","ENSG00000149948","HMGA2","high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F8VSF5","ENSG00000152556","PFKM","phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"A0A494C1M9","ENSG00000123297","TSFM","Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12367]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F5H6H0","ENSG00000149948","HMGA2","high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F8VSF5","ENSG00000152556","PFKM","phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F8VSF5","ENSG00000152556","PFKM","phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"H0YHV2","ENSG00000167553","TUBA1C","tubulin alpha 1c [Source:HGNC Symbol;Acc:HGNC:20768]","UNIPROTSPTREMBL_ACC"
"A0A2R8YF87","ENSG00000139719","VPS33A","VPS33A core subunit of CORVET and HOPS complexes [Source:HGNC Symbol;Acc:HGNC:18179]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F8VVD5","ENSG00000110871","COQ5","coenzyme Q5, methyltransferase [Source:HGNC Symbol;Acc:HGNC:28722]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"F8VVD5","ENSG00000110871","COQ5","coenzyme Q5, methyltransferase [Source:HGNC Symbol;Acc:HGNC:28722]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q7Z5D8","ENSG00000205857","NANOGNB","NANOG neighbor homeobox [Source:HGNC Symbol;Acc:HGNC:24958]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"Q99959","ENSG00000057294","PKP2","plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"Q99959","ENSG00000057294","PKP2","plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"F8VSF5","ENSG00000152556","PFKM","phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"G3V1S3","ENSG00000170456","DENND5B","DENN domain containing 5B [Source:HGNC Symbol;Acc:HGNC:28338]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"A0A494C1M9","ENSG00000123297","TSFM","Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12367]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"Q7Z5D8","ENSG00000205857","NANOGNB","NANOG neighbor homeobox [Source:HGNC Symbol;Acc:HGNC:24958]","UNIPROTSWISSPROT_ACC,UNIPROT_GN_ACC"
"A0A8I5KW48","None","None","None",""
"F5H6H0","ENSG00000149948","HMGA2","high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
"A0A8I5KW48","None","None","None",""
"H0YHV2","ENSG00000167553","TUBA1C","tubulin alpha 1c [Source:HGNC Symbol;Acc:HGNC:20768]","UNIPROTSPTREMBL_ACC"
"F8VVD5","ENSG00000110871","COQ5","coenzyme Q5, methyltransferase [Source:HGNC Symbol;Acc:HGNC:28722]","UNIPROTSPTREMBL_ACC,UNIPROT_GN_ACC"
