tx	gene_id	H2	H27	H45	H47	H56	H74	H87	H91
ENST00000535849	ENSG00000256263	0	0	0	0	0	0	0	0
ENST00000400706	ENSG00000226210	51	126	102	69	64	188	32	49
ENST00000504074	ENSG00000249054	0	0	0	0	0	0	0	3
ENST00000546223	ENSG00000249054	0	0	0	0	0	0	0	0
ENST00000538872	ENSG00000120645	1.626	0	4	0	0	1	0	29.983
ENST00000382841	ENSG00000120645	1.374	0	0	0	0	0	0	4.017
ENST00000540226	ENSG00000256948	0	6	0	0	0	1	0	0
ENST00000505893	ENSG00000249695	0	0	0	0	0	0	0	0
ENST00000508953	ENSG00000249695	0	0	3	0	0	0	0	44
ENST00000540136	ENSG00000256694	0	0	0	0	0	0	0	4
ENST00000537295	ENSG00000256540	0	0	1	0	0	0	0	0
ENST00000537961	ENSG00000256540	0	0	0	0	0	0	0	6
ENST00000540907	ENSG00000120645	0	0	0	0	0	0	0	0
ENST00000537151	ENSG00000120645	0	0	0	0	0	0	0	0
ENST00000544511	ENSG00000120645	0	0	0	0	0	0	0	0
ENST00000397296	ENSG00000111181	0	0	0	4.689	0	0	0	3.823
ENST00000359674	ENSG00000111181	0	0	0	13.04	0	0	0	0
ENST00000684302	ENSG00000111181	8.066	10	34	0	20	14	23.751	27.233
ENST00000545058	ENSG00000111181	0	0	0	0	0	0	1.552	0
ENST00000424061	ENSG00000111181	0	0	0	0	0	0	0	0
ENST00000536824	ENSG00000111181	0	0	0	2.102	0	0	0	0
ENST00000544067	ENSG00000255671	0	0	0	0	0	0	0	0
ENST00000542825	ENSG00000111181	0	0	0	0	0	0	0	0
ENST00000535498	ENSG00000111181	2.977	0	0	0	0	0	0	0
ENST00000544782	ENSG00000111181	0	0	0	0	0	0	0	0
ENST00000538272	ENSG00000111181	0	0	0	0	0	0	0	0
ENST00000540094	ENSG00000111181	0	0	0	1.833	0	0	0	0
ENST00000538580	ENSG00000111181	0	1	0	2	0	0	0	3
ENST00000536116	ENSG00000111181	1.957	0	0	0	0	0	0	0
ENST00000537793	ENSG00000111181	0	0	0	0	0	0	0	0
ENST00000535347	ENSG00000111181	0	0	0	1.243	0	0	1.697	0
ENST00000539568	ENSG00000256577	0	0	0	0	0	0	0	1
ENST00000537826	ENSG00000111181	0	0	0	3.093	0	0	0	2.944
ENST00000538424	ENSG00000111181	1	0	0	2	0	1	0	9
ENST00000445055	ENSG00000010379	0	0	0	0	2	1	2	0
ENST00000343164	ENSG00000010379	0	0	0	0	0	0	0	0
ENST00000539668	ENSG00000010379	0	0	0	0	0	0	0	0
ENST00000542379	ENSG00000010379	0	0	0	0	0	0	0	0
ENST00000543722	ENSG00000010379	0	0	0	0	0	0	0	0
ENST00000542947	ENSG00000010379	0	0	0	0	1	0	0	0
ENST00000546319	ENSG00000010379	0	0	0	0	0	0	0	0
ENST00000536842	ENSG00000010379	0	0	0	0	0	0	0	1
ENST00000534887	ENSG00000010379	0	0	0	0	0	0	0	3
ENST00000539260	ENSG00000010379	0	0	0	0	0	0	0	0
ENST00000542272	ENSG00000010379	0	0	0	0	0	0	0	0
ENST00000540868	ENSG00000255746	0	0	0	0	0	0	0	0
ENST00000436453	ENSG00000010379	3	0	1	1	5	3	3	13
ENST00000570140	ENSG00000261799	145	180	335	260	322	162	223	261
ENST00000703815	ENSG00000290285	0	0	0	0	0	0	1	19
ENST00000399788	ENSG00000073614	3836.27	3630.517	6422.247	6731.685	6491.857	4863.072	4512.167	2753.235
ENST00000540838	ENSG00000073614	7.395	11.126	12.091	16.044	10.174	14.445	6.023	5.033
ENST00000540156	ENSG00000073614	0	0	0	6.269	0	0	2.7	0
ENST00000544760	ENSG00000073614	160.982	203.495	220.296	367.855	438.427	268.638	313.474	124.918
ENST00000535269	ENSG00000073614	4.775	6.122	7.611	3.594	8.566	2.16	2.381	3.998
ENST00000541335	ENSG00000073614	6.165	5.071	11	5.189	15.141	1.008	8	8
ENST00000540168	ENSG00000073614	12.121	18.822	14.534	16.147	16.085	12.962	14.663	14.057
ENST00000544777	ENSG00000073614	7.569	16.148	19.02	24.061	34.504	10.688	29.106	12.588
ENST00000535014	ENSG00000073614	25.087	33.278	56.044	158.735	239.492	227.897	15.543	0
ENST00000536014	ENSG00000073614	6.637	4.42	9.156	12.301	1.042	4.13	12.943	2.171
ENST00000543507	ENSG00000073614	0	0	0	2.121	1.712	0	0	0
ENST00000537453	ENSG00000120647	0	0	0	0	0	0	0	0
ENST00000540180	ENSG00000120647	0	2.582	3.04	0	7.514	9.356	0	0
ENST00000422000	ENSG00000120647	0	0	16.753	7.421	23.517	19.689	44.512	0
ENST00000535052	ENSG00000120647	0	0	0	0	0	0	0	1
ENST00000543504	ENSG00000120647	0	0	0	0	0	0	0	0
ENST00000540344	ENSG00000120647	0	11.72	5.511	0	2.727	0	0	8.003
ENST00000412006	ENSG00000120647	29.507	13.193	65.463	0	0	13.545	0	21.297
ENST00000239830	ENSG00000120647	0	25.178	8.576	44.615	0	16.243	0	18.127
ENST00000535959	ENSG00000120647	1	0	0	1	0	0	1	1
ENST00000538160	ENSG00000120647	1.493	3.378	3.415	5.569	4.501	1.922	2.488	9.573
ENST00000540118	ENSG00000120647	0	5.949	1.243	0	0	3.261	0	0
ENST00000537286	ENSG00000120647	0	0	0	12.395	7.74	3.985	0	0
ENST00000266383	ENSG00000139044	0	5.288	4.064	0	6.998	0	6.551	10.18
ENST00000535680	ENSG00000139044	0	0	0	0	0	0	0	0
ENST00000544638	ENSG00000139044	0	0	0	0	0	0	0	0
ENST00000540836	ENSG00000139044	0	0	0	0	0	0	0	0
ENST00000322843	ENSG00000139044	1.022	0	0	0	1.093	0	4.489	0
ENST00000647602	ENSG00000139044	0	0	0	3.935	0	12.664	0	0
ENST00000535402	ENSG00000139044	66.978	6.712	14.936	19.065	48.909	75.336	5.96	32.82
ENST00000305108	ENSG00000171840	88.131	308.013	89.569	191.322	87.588	137.739	193.337	139.458
ENST00000662884	ENSG00000171840	0	0	14.749	0	3.276	14.268	0	3.449
ENST00000397265	ENSG00000171840	40.586	3.796	22.838	88.971	68.073	12.838	53.339	47.781
ENST00000542920	ENSG00000171840	78.591	277.232	67.745	103.607	56.086	99.544	111.719	78.387
ENST00000433832	ENSG00000171840	2.692	8.96	4.099	9.1	3.976	2.61	5.604	14.925
ENST00000537416	ENSG00000171840	0	1	0	0	0	0	0	0
ENST00000538943	ENSG00000256020	0	1.065	0	0	0	2.182	1.098	1.109
ENST00000702725	ENSG00000256020	2	38.935	0	23	18	27.818	7.902	18.891
ENST00000459238	ENSG00000238370	0	0	0	0	0	0	0	0
ENST00000538067	ENSG00000255825	1	0	0	0	0	0	0	0
ENST00000666212	ENSG00000177406	0	6.239	0	0	0	0	0	0
ENST00000537514	ENSG00000177406	59.503	5.043	14.572	61.43	16.998	0	8.953	24.84
ENST00000543884	ENSG00000177406	0	0	3	0	0	0	10.921	7
ENST00000318291	ENSG00000177406	130.305	158.726	139.688	271.017	166.458	90.646	114.812	46.864
ENST00000655409	ENSG00000177406	0	0	0	0	0	0	0	0
ENST00000670735	ENSG00000177406	57.789	61.772	71.74	176.84	137.239	78.202	106.76	45.296
ENST00000662519	ENSG00000177406	7.403	2.22	0	5.713	3.305	1.152	4.554	0
ENST00000541881	ENSG00000256672	0	0	0	0	0	0	0	0
ENST00000315939	ENSG00000060237	0	1561.399	114.626	165.485	0	172.349	186.272	0
ENST00000340908	ENSG00000060237	505.632	929.114	763.487	884.907	846.42	705.958	809.47	549.383
ENST00000535572	ENSG00000060237	600.896	1197.681	1000.08	1082.89	1060.713	1266.466	581.574	912.64
ENST00000530271	ENSG00000060237	0	0	0	0	0	0	0	0
ENST00000537687	ENSG00000060237	19.13	93.697	274.694	198.349	0	10.128	78.115	152.58
ENST00000447667	ENSG00000060237	10.983	40.014	18.951	23.944	9.921	33.243	23.006	9.684
ENST00000408512	ENSG00000221439	0	0	0	0	0	0	0	0
ENST00000540360	ENSG00000060237	33.07	82.85	39.725	52.777	14.488	34.339	36.908	28.98
ENST00000675631	ENSG00000060237	378.783	243.519	432.992	574.93	604.537	360.646	276.957	507.235
ENST00000676347	ENSG00000060237	72.994	203.995	208.056	242.008	162.53	107.942	111.796	386.902
ENST00000545285	ENSG00000060237	0	0	3.213	0	0	0	0	0
ENST00000535698	ENSG00000060237	0	0	0	0	0	0	3	0
ENST00000648642	ENSG00000285704	0	0	0	0	0	0	0	2
ENST00000674810	ENSG00000060237	318.632	288.806	464.1	428.16	351.445	304.658	388.592	249.231
ENST00000574679	ENSG00000060237	0	0	0	0	0	0	0	0
ENST00000675236	ENSG00000060237	126.967	83.083	161.813	175.339	160.36	194.483	131.408	165.458
ENST00000542543	ENSG00000060237	20.987	32.681	13.117	10.221	13.957	27.436	21.235	6.868
ENST00000545055	ENSG00000060237	20.189	21.644	18.702	14.01	24.764	16.938	16.613	25.243
ENST00000534872	ENSG00000060237	4.558	0	0	4.781	1.513	0	0	0
ENST00000542424	ENSG00000060237	1.18	11.515	8.297	2.552	7.058	9.36	2.446	7.91
ENST00000537603	ENSG00000060237	0	0	6.736	1.091	4.269	1.054	2.281	4.287
ENST00000544559	ENSG00000060237	0	0	0	0	0	0	0	0
ENST00000540885	ENSG00000060237	0	0	11.41	14.555	2.025	0	3.329	3.599
ENST00000358495	ENSG00000002016	31.445	44.509	66.156	21.971	44.519	40.485	20.968	21.312
ENST00000228345	ENSG00000002016	1.746	23.214	11.6	0	6.798	11.549	5.257	2.717
ENST00000468231	ENSG00000002016	0	0	0	0	0	0	0	0
ENST00000481052	ENSG00000002016	2.903	12.122	14.315	13.243	0	0	0	9.707
ENST00000430095	ENSG00000002016	0	0	0	3.762	0	0	0	0
ENST00000488642	ENSG00000002016	6.318	6.191	10.459	4.16	3.602	2.31	5.775	2.86
ENST00000535376	ENSG00000002016	0	0	0	0	0	0	0	0
ENST00000542297	ENSG00000002016	1	1.096	0	0	3	0	0	1.3
ENST00000543912	ENSG00000002016	0	0	0	0	0	0	0	0
ENST00000461568	ENSG00000002016	0	0	0	0	0	0	0	0
ENST00000463750	ENSG00000002016	0	10.097	3.156	0	2.804	3.32	0	1.105
ENST00000536177	ENSG00000002016	0	0	0	0	0	1.265	0	0
ENST00000542584	ENSG00000002016	0	0	0	0	0	0	0	0
ENST00000545564	ENSG00000002016	0	0	0	0	0	0	0	0
ENST00000545967	ENSG00000002016	0	0	0	0	0	0	0	0
ENST00000542785	ENSG00000002016	3.051	0	5.315	0	0	2.126	0	0
ENST00000397230	ENSG00000002016	0	2.198	0	3.864	0	8.618	0	1
ENST00000544742	ENSG00000002016	1.537	3.572	0	0	2.077	2.326	0	1
ENST00000541619	ENSG00000002016	0	0	0	0	3.201	0	0	0
ENST00000503602	ENSG00000250132	3	0	7	3	1	10	1	23
ENST00000545629	ENSG00000250132	0	0	0	0	0	0	0	0
ENST00000539259	ENSG00000250132	0	2	0	0	1	0	0	0
ENST00000543290	ENSG00000250132	1	0	1	0	0	0	0	0
ENST00000611180	ENSG00000082805	0	142.377	332.098	124.973	134.225	189.599	64.018	49.424
ENST00000543086	ENSG00000082805	0	124.486	0	0	0	0	0	0
ENST00000360905	ENSG00000082805	99.345	0	248.768	150.297	141.785	141.394	52.426	216.297
ENST00000691018	ENSG00000082805	60.091	22.467	70.283	66.843	26.022	14.969	2.457	37.684
ENST00000690948	ENSG00000082805	0	49.812	101.486	17.55	20.927	56.611	0	0
ENST00000545318	ENSG00000082805	4.748	0	0	0	0	0	10.473	0
ENST00000542302	ENSG00000082805	0	0	0	2.259	0	0	0	0
ENST00000546231	ENSG00000082805	0	38.657	21.43	0	9.28	0	0	0
ENST00000347735	ENSG00000082805	0	0	0	0	0	0	0	0
ENST00000397203	ENSG00000082805	0	0	0	0	0	0	0	0
ENST00000692909	ENSG00000082805	18.929	46.991	56.985	11.812	30.802	15.486	12.168	24.2
ENST00000686476	ENSG00000082805	10.391	8.287	12.344	6.2	5.07	5.303	16.71	13.68
ENST00000690222	ENSG00000082805	0	0	0	0	0	0	0	0
ENST00000536573	ENSG00000082805	8.626	22.055	9.469	3.227	4.34	0	2.767	24.364
ENST00000592048	ENSG00000082805	0	0	0	0	0	0	0	0
ENST00000440394	ENSG00000082805	0	0	0	0	0	0	0	0
ENST00000545948	ENSG00000082805	0	0	0	0	0	0	0	0
ENST00000589028	ENSG00000082805	30.119	21.337	51.199	0	7.248	0	11.073	0
ENST00000589132	ENSG00000082805	0	0	0	0	0	0	0	0
ENST00000355446	ENSG00000082805	0	0	0	0	0	0	31.706	6.88
ENST00000538971	ENSG00000082805	0	0	0	0	0	9.683	0	0
ENST00000689995	ENSG00000082805	0	3.645	0	0	0	0	0	0
